idx,anger,happy,sad,fear,surprise,disgust
flat_shoe,0.0,1.0,0.0,0.0,0.0,0.0
boy_medium-dark_skin_tone,,,,,,
crayon,0.0,1.0,0.0,0.0,0.0,0.0
Jamaica,,,,,,
double_curly_loop,,,,,,
man_dark_skin_tone,,,,,,
woman_getting_massage_medium-dark_skin_tone,,,,,,
bank,0.09016393442622951,0.22950819672131148,0.20081967213114754,0.21618852459016394,0.1413934426229508,0.12192622950819672
New_Zealand,,,,,,
non-potable_water,,,,,,
Tokyo_tower,,,,,,
police_officer_medium-light_skin_tone,,,,,,
Netherlands,,,,,,
hamster,0.0,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.0,0.36363636363636365
man_with_white_cane_medium_skin_tone,,,,,,
nine-thirty,,,,,,
Ascension_Island,,,,,,
dollar_banknote,0.17647058823529413,0.45098039215686275,0.0392156862745098,0.1568627450980392,0.0784313725490196,0.09803921568627451
vampire_medium-light_skin_tone,,,,,,
person_bowing_medium_skin_tone,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0
Japanese_discount_button,,,,,,
eight-pointed_star,,,,,,
smiling_face,0.0220125786163522,0.8018867924528302,0.0660377358490566,0.0440251572327044,0.06289308176100629,0.0031446540880503146
woman_cartwheeling_light_skin_tone,0.0,0.8,0.0,0.0,0.2,0.0
raised_fist_light_skin_tone,0.125,0.5,0.1,0.225,0.025,0.025
woman_technologist_dark_skin_tone,,,,,,
transgender_symbol,,,,,,
clapping_hands_medium-dark_skin_tone,,,,,,
wheelchair_symbol,0.0,0.5,0.375,0.125,0.0,0.0
next_track_button,1.0,0.0,0.0,0.0,0.0,0.0
man_medium_skin_tone,,,,,,
hospital,0.0796875,0.2609375,0.25625,0.178125,0.1359375,0.0890625
man_singer_medium-dark_skin_tone,,,,,,
Japanese_post_office,,,,,,
person_getting_haircut_medium-light_skin_tone,,,,,,
parachute,0.125,0.25,0.375,0.125,0.125,0.0
woman_scientist_medium_skin_tone,,,,,,
tired_face,0.07150480256136606,0.37353255069370334,0.17929562433297758,0.22198505869797225,0.054429028815368194,0.09925293489861259
euro_banknote,0.1,0.8,0.05,0.05,0.0,0.0
