name_demojized,emoji,name,group,sub_group,codepoints,name_demojized
_grinning_face_,😀,grinning face,Smileys & Emotion,face-smiling,1F600,_grinning_face_
_grinning_face_with_big_eyes_,😃,grinning face with big eyes,Smileys & Emotion,face-smiling,1F603,_grinning_face_with_big_eyes_
_grinning_face_with_smiling_eyes_,😄,grinning face with smiling eyes,Smileys & Emotion,face-smiling,1F604,_grinning_face_with_smiling_eyes_
_beaming_face_with_smiling_eyes_,😁,beaming face with smiling eyes,Smileys & Emotion,face-smiling,1F601,_beaming_face_with_smiling_eyes_
_grinning_squinting_face_,😆,grinning squinting face,Smileys & Emotion,face-smiling,1F606,_grinning_squinting_face_
_grinning_face_with_sweat_,😅,grinning face with sweat,Smileys & Emotion,face-smiling,1F605,_grinning_face_with_sweat_
_rolling_on_the_floor_laughing_,🤣,rolling on the floor laughing,Smileys & Emotion,face-smiling,1F923,_rolling_on_the_floor_laughing_
_face_with_tears_of_joy_,😂,face with tears of joy,Smileys & Emotion,face-smiling,1F602,_face_with_tears_of_joy_
_slightly_smiling_face_,🙂,slightly smiling face,Smileys & Emotion,face-smiling,1F642,_slightly_smiling_face_
_upside-down_face_,🙃,upside-down face,Smileys & Emotion,face-smiling,1F643,_upside-down_face_
_winking_face_,😉,winking face,Smileys & Emotion,face-smiling,1F609,_winking_face_
_smiling_face_with_smiling_eyes_,😊,smiling face with smiling eyes,Smileys & Emotion,face-smiling,1F60A,_smiling_face_with_smiling_eyes_
_smiling_face_with_halo_,😇,smiling face with halo,Smileys & Emotion,face-smiling,1F607,_smiling_face_with_halo_
_smiling_face_with_hearts_,🥰,smiling face with hearts,Smileys & Emotion,face-affection,1F970,_smiling_face_with_hearts_
_smiling_face_with_heart-eyes_,😍,smiling face with heart-eyes,Smileys & Emotion,face-affection,1F60D,_smiling_face_with_heart-eyes_
_star-struck_,🤩,star-struck,Smileys & Emotion,face-affection,1F929,_star-struck_
_face_blowing_a_kiss_,😘,face blowing a kiss,Smileys & Emotion,face-affection,1F618,_face_blowing_a_kiss_
_kissing_face_,😗,kissing face,Smileys & Emotion,face-affection,1F617,_kissing_face_
