emoticon,cnt
_red_heart_,168111
_loudly_crying_face_,136543
_face_with_tears_of_joy_,101488
_smiling_face_with_smiling_eyes_,80186
_smiling_face_with_heart-eyes_,66088
_purple_heart_,51958
_thumbs_up_,50944
_backhand_index_pointing_down_,49786
_eyes_,48343
_pouting_face_,47801
_waving_hand_,44672
_thinking_face_,40136
_winking_face_,39826
_pleading_face_,33970
_fire_,32470
_weary_face_,29627
_face_savoring_food_,26814
_rolling_on_the_floor_laughing_,26488
_beaming_face_with_smiling_eyes_,26419
_folded_hands_,25067
_face_with_rolling_eyes_,25004
_grinning_face_,24434
_slightly_smiling_face_,22957
_pensive_face_,22537
_musical_notes_,22219
_clapping_hands_,19510
_registered_,19174
_woman_dancing_,18944
_heart_suit_,17431
_smiling_face_with_sunglasses_,17100
_blue_heart_,16970
_crying_face_,16734
_police_car_light_,16589
_face_with_symbols_on_mouth_,16030
_raising_hands_,14911
_face_with_steam_from_nose_,14813
_backhand_index_pointing_right_,14446
_unamused_face_,14224
_smiling_face_with_hearts_,13189
_broken_heart_,12341
_hamburger_,11744
_two_hearts_,11531
_smiling_face_,11451
_man_dancing_,11358
_french_fries_,11294
_globe_showing_Americas_,11157
_disappointed_face_,11102
_musical_note_,10499
_face_blowing_a_kiss_,10477
_tired_face_,10352
_grinning_face_with_big_eyes_,10076
_OK_hand_,9965
_hundred_points_,9627
_shopping_cart_,9619
_sparkling_heart_,9133
_sparkles_,8990
_double_exclamation_mark_,8988
_folded_hands_light_skin_tone_,8930
_flushed_face_,8401
_sun_,8295
_angry_face_,8271
_upside-down_face_,8225
_frowning_face_,8187
_face_screaming_in_fear_,7920
_grinning_face_with_sweat_,7901
_folded_hands_medium-light_skin_tone_,7871
_smiling_face_with_open_hands_,7666
_alarm_clock_,7648
_crossed_fingers_,7440
_man_raising_hand_,7435
_party_popper_,7393
_star-struck_,7356
_smirking_face_,7022
_thumbs_down_,7007
_grinning_face_with_smiling_eyes_,7002
_hot_beverage_,6883
_face_vomiting_,6881
_nauseated_face_,6863
