emoticon,cnt,emoji,name,group,sub_group
_red_heart_,168111,❤️,red heart,Smileys & Emotion,emotion
_loudly_crying_face_,136543,😭,loudly crying face,Smileys & Emotion,face-concerned
_face_with_tears_of_joy_,101488,😂,face with tears of joy,Smileys & Emotion,face-smiling
_smiling_face_with_smiling_eyes_,80186,😊,smiling face with smiling eyes,Smileys & Emotion,face-smiling
_smiling_face_with_heart-eyes_,66088,😍,smiling face with heart-eyes,Smileys & Emotion,face-affection
_purple_heart_,51958,💜,purple heart,Smileys & Emotion,emotion
_thumbs_up_,50944,👍,thumbs up,People & Body,hand-fingers-closed
_backhand_index_pointing_down_,49786,👇,backhand index pointing down,People & Body,hand-single-finger
_eyes_,48343,👀,eyes,People & Body,body-parts
_pouting_face_,47801,😡,pouting face,Smileys & Emotion,face-negative
_waving_hand_,44672,👋,waving hand,People & Body,hand-fingers-open
_thinking_face_,40136,🤔,thinking face,Smileys & Emotion,face-hand
_winking_face_,39826,😉,winking face,Smileys & Emotion,face-smiling
_pleading_face_,33970,🥺,pleading face,Smileys & Emotion,face-concerned
_fire_,32470,🔥,fire,Travel & Places,sky & weather
_weary_face_,29627,😩,weary face,Smileys & Emotion,face-concerned
_face_savoring_food_,26814,😋,face savoring food,Smileys & Emotion,face-tongue
_rolling_on_the_floor_laughing_,26488,🤣,rolling on the floor laughing,Smileys & Emotion,face-smiling
_beaming_face_with_smiling_eyes_,26419,😁,beaming face with smiling eyes,Smileys & Emotion,face-smiling
_folded_hands_,25067,🙏,folded hands,People & Body,hands
_face_with_rolling_eyes_,25004,🙄,face with rolling eyes,Smileys & Emotion,face-neutral-skeptical
_grinning_face_,24434,😀,grinning face,Smileys & Emotion,face-smiling
_slightly_smiling_face_,22957,🙂,slightly smiling face,Smileys & Emotion,face-smiling
_pensive_face_,22537,😔,pensive face,Smileys & Emotion,face-sleepy
_musical_notes_,22219,🎶,musical notes,Objects,music
_clapping_hands_,19510,👏,clapping hands,People & Body,hands
_registered_,19174,®️,registered,Symbols,other-symbol
_woman_dancing_,18944,💃,woman dancing,People & Body,person-activity
_heart_suit_,17431,♥️,heart suit,Activities,game
_smiling_face_with_sunglasses_,17100,😎,smiling face with sunglasses,Smileys & Emotion,face-glasses
_blue_heart_,16970,💙,blue heart,Smileys & Emotion,emotion
_crying_face_,16734,😢,crying face,Smileys & Emotion,face-concerned
_police_car_light_,16589,🚨,police car light,Travel & Places,transport-ground
_face_with_symbols_on_mouth_,16030,🤬,face with symbols on mouth,Smileys & Emotion,face-negative
_raising_hands_,14911,🙌,raising hands,People & Body,hands
_face_with_steam_from_nose_,14813,😤,face with steam from nose,Smileys & Emotion,face-negative
_backhand_index_pointing_right_,14446,👉,backhand index pointing right,People & Body,hand-single-finger
_unamused_face_,14224,😒,unamused face,Smileys & Emotion,face-neutral-skeptical
_smiling_face_with_hearts_,13189,🥰,smiling face with hearts,Smileys & Emotion,face-affection
_broken_heart_,12341,💔,broken heart,Smileys & Emotion,emotion
_hamburger_,11744,🍔,hamburger,Food & Drink,food-prepared
_two_hearts_,11531,💕,two hearts,Smileys & Emotion,emotion
_smiling_face_,11451,☺️,smiling face,Smileys & Emotion,face-affection
_man_dancing_,11358,🕺,man dancing,People & Body,person-activity
_french_fries_,11294,🍟,french fries,Food & Drink,food-prepared
_globe_showing_Americas_,11157,🌎,globe showing Americas,Travel & Places,place-map
_disappointed_face_,11102,😞,disappointed face,Smileys & Emotion,face-concerned
_musical_note_,10499,🎵,musical note,Objects,music
_face_blowing_a_kiss_,10477,😘,face blowing a kiss,Smileys & Emotion,face-affection
_tired_face_,10352,😫,tired face,Smileys & Emotion,face-concerned
_grinning_face_with_big_eyes_,10076,😃,grinning face with big eyes,Smileys & Emotion,face-smiling
_OK_hand_,9965,👌,OK hand,People & Body,hand-fingers-partial
_hundred_points_,9627,💯,hundred points,Smileys & Emotion,emotion
_shopping_cart_,9619,🛒,shopping cart,Objects,household
_sparkling_heart_,9133,💖,sparkling heart,Smileys & Emotion,emotion
_sparkles_,8990,✨,sparkles,Activities,event
_double_exclamation_mark_,8988,‼️,double exclamation mark,Symbols,punctuation
