idx,anger,happy,sad,fear,surprise,disgust,emoticon,cnt,emoji,name,group,sub_group
flat_shoe,0.0,0.6989700043360189,0.0,0.0,0.0,0.0,flat_shoe,5,🥿,flat shoe,Objects,clothing
boy_medium-dark_skin_tone,,,,,,,boy_medium-dark_skin_tone,5,👦🏾,boy: medium-dark skin tone,People & Body,person
crayon,0.0,1.146128035678238,0.0,0.0,0.0,0.0,crayon,14,🖍️,crayon,Objects,writing
Jamaica,,,,,,,Jamaica,125,🇯🇲,flag: Jamaica,Flags,country-flag
double_curly_loop,,,,,,,double_curly_loop,1,➿,double curly loop,Symbols,other-symbol
man_dark_skin_tone,,,,,,,man_dark_skin_tone,6,👨🏿,man: dark skin tone,People & Body,person
woman_getting_massage_medium-dark_skin_tone,,,,,,,woman_getting_massage_medium-dark_skin_tone,16,💆🏾‍♀️,woman getting massage: medium-dark skin tone,People & Body,person-activity
bank,0.12444527589203004,0.3167697931797128,0.2771735690322487,0.29838583196839025,0.19515281901250164,0.16828395262672244,bank,24,🏦,bank,Travel & Places,place-building
New_Zealand,,,,,,,New_Zealand,55,🇳🇿,flag: New Zealand,Flags,country-flag
non-potable_water,,,,,,,non-potable_water,4,🚱,non-potable water,Symbols,warning
Tokyo_tower,,,,,,,Tokyo_tower,56,🗼,Tokyo tower,Travel & Places,place-building
police_officer_medium-light_skin_tone,,,,,,,police_officer_medium-light_skin_tone,5,👮🏼,police officer: medium-light skin tone,People & Body,person-role
Netherlands,,,,,,,Netherlands,63,🇳🇱,flag: Netherlands,Flags,country-flag
hamster,0.0,0.5466331019407207,0.18221103398024024,0.5466331019407207,0.0,0.728844135920961,hamster,101,🐹,hamster,Animals & Nature,animal-mammal
man_with_white_cane_medium_skin_tone,,,,,,,man_with_white_cane_medium_skin_tone,3,👨🏽‍🦯,man with white cane: medium skin tone,People & Body,person-activity
nine-thirty,,,,,,,nine-thirty,5,🕤,nine-thirty,Travel & Places,time
Ascension_Island,,,,,,,Ascension_Island,1,🇦🇨,flag: Ascension Island,Flags,country-flag
dollar_banknote,0.5251572593650223,1.3420685517106126,0.11670161319222717,0.4668064527689087,0.23340322638445435,0.2917540329805679,dollar_banknote,946,💵,dollar banknote,Objects,money
vampire_medium-light_skin_tone,,,,,,,vampire_medium-light_skin_tone,2,🧛🏼,vampire: medium-light skin tone,People & Body,person-fantasy
person_bowing_medium_skin_tone,0.0,0.4336766652213271,0.0,0.8673533304426542,0.0,0.0,person_bowing_medium_skin_tone,20,🙇🏽,person bowing: medium skin tone,People & Body,person-gesture
Japanese_discount_button,,,,,,,Japanese_discount_button,1,🈹,Japanese “discount” button,Symbols,alphanum
eight-pointed_star,,,,,,,eight-pointed_star,19,✴️,eight-pointed star,Symbols,other-symbol
smiling_face,0.08934560975685951,3.2547329268570255,0.26803682927057854,0.17869121951371902,0.25527317073388434,0.012763658536694217,smiling_face,11451,☺️,smiling face,Smileys & Emotion,face-affection
woman_cartwheeling_light_skin_tone,0.0,1.204119982655925,0.0,0.0,0.30102999566398125,0.0,woman_cartwheeling_light_skin_tone,32,🤸🏻‍♀️,woman cartwheeling: light skin tone,People & Body,person-sport
raised_fist_light_skin_tone,0.3506025848401453,1.4024103393605811,0.2804820678721162,0.6310846527122616,0.07012051696802905,0.07012051696802905,raised_fist_light_skin_tone,638,✊🏻,raised fist: light skin tone,People & Body,hand-fingers-closed
woman_technologist_dark_skin_tone,,,,,,,woman_technologist_dark_skin_tone,1,👩🏿‍💻,woman technologist: dark skin tone,People & Body,person-role
transgender_symbol,,,,,,,transgender_symbol,3,⚧️,transgender symbol,Symbols,gender
clapping_hands_medium-dark_skin_tone,,,,,,,clapping_hands_medium-dark_skin_tone,3379,👏🏾,clapping hands: medium-dark skin tone,People & Body,hands
wheelchair_symbol,0.0,0.9030899869919435,0.6773174902439576,0.22577249674798588,0.0,0.0,wheelchair_symbol,64,♿,wheelchair symbol,Symbols,transport-sign
next_track_button,1.255272505103306,0.0,0.0,0.0,0.0,0.0,next_track_button,18,⏭️,next track button,Symbols,av-symbol
man_medium_skin_tone,,,,,,,man_medium_skin_tone,3,👨🏽,man: medium skin tone,People & Body,person
hospital,0.1494189444265261,0.4892737984162717,0.4804844487441231,0.3339952875416466,0.2548911404923092,0.1669976437708233,hospital,75,🏥,hospital,Travel & Places,place-building
man_singer_medium-dark_skin_tone,,,,,,,man_singer_medium-dark_skin_tone,3,👨🏾‍🎤,man singer: medium-dark skin tone,People & Body,person-role
Japanese_post_office,,,,,,,Japanese_post_office,7,🏣,Japanese post office,Travel & Places,place-building
person_getting_haircut_medium-light_skin_tone,,,,,,,person_getting_haircut_medium-light_skin_tone,3,💇🏼,person getting haircut: medium-light skin tone,People & Body,person-activity
parachute,0.09726890629795545,0.1945378125959109,0.29180671889386633,0.09726890629795545,0.09726890629795545,0.0,parachute,6,🪂,parachute,Travel & Places,transport-air
woman_scientist_medium_skin_tone,,,,,,,woman_scientist_medium_skin_tone,6,👩🏽‍🔬,woman scientist: medium skin tone,People & Body,person-role
tired_face,0.28709351722812154,1.4997422541767547,0.7198762820048421,0.8912753967678998,0.2185338713228985,0.398502941824109,tired_face,10352,😫,tired face,Smileys & Emotion,face-concerned
euro_banknote,0.18260748027008267,1.4608598421606613,0.09130374013504133,0.09130374013504133,0.0,0.0,euro_banknote,67,💶,euro banknote,Objects,money
person_tipping_hand,0.2310042438275376,1.8480339506203007,0.07700141460917918,0.385007073045896,0.0,0.07700141460917918,person_tipping_hand,415,💁,person tipping hand,People & Body,person-gesture
station,0.056004345669318153,0.35202731563571416,0.2880223491564934,0.19201489943766226,0.14667804818154756,0.14134430097494582,station,15,🚉,station,Travel & Places,transport-ground
angry_face_with_horns,0.3847617688008013,0.6022358120360368,0.3011179060180184,1.3550305770810829,0.0836438627827829,0.35130422368768816,angry_face_with_horns,1197,👿,angry face with horns,Smileys & Emotion,face-negative
person_facepalming_medium-dark_skin_tone,,,,,,,person_facepalming_medium-dark_skin_tone,59,🤦🏾,person facepalming: medium-dark skin tone,People & Body,person-gesture
woman_office_worker,0.0,1.0791812460476249,0.0,0.0,0.0,0.0,woman_office_worker,12,👩‍💼,woman office worker,People & Body,person-role
women_with_bunny_ears,,,,,,,women_with_bunny_ears,88,👯‍♀️,women with bunny ears,People & Body,person-activity
tulip,0.03392628392171097,2.2052084549112134,0.1357051356868439,0.10177885176513292,0.03392628392171097,0.0,tulip,324,🌷,tulip,Animals & Nature,plant-flower
man_bowing_dark_skin_tone,,,,,,,man_bowing_dark_skin_tone,10,🙇🏿‍♂️,man bowing: dark skin tone,People & Body,person-gesture
woman_bowing,0.0,2.173186268412274,0.0,0.0,0.0,0.0,woman_bowing,149,🙇‍♀️,woman bowing,People & Body,person-gesture
round_pushpin,0.0,0.7853419523977074,0.09816774404971343,1.2761806726462745,0.19633548809942686,0.0,round_pushpin,227,📍,round pushpin,Objects,office
smiling_face_with_heart-eyes,,,,,,,smiling_face_with_heart-eyes,66088,😍,smiling face with heart-eyes,Smileys & Emotion,face-affection
middle_finger_medium_skin_tone,0.511394899788189,0.3174175240064621,0.26451460333871846,0.7406408893484115,0.08817153444623947,1.1638642546903613,middle_finger_medium_skin_tone,1219,🖕🏽,middle finger: medium skin tone,People & Body,hand-single-finger
t-shirt,,,,,,,t-shirt,119,👕,t-shirt,Objects,clothing
seedling,0.10492954443174687,1.6526403248000132,0.2885562471873039,0.4984153360507977,0.26232386107936717,0.1573943166476203,seedling,921,🌱,seedling,Animals & Nature,plant-other
person_with_veil_medium_skin_tone,,,,,,,person_with_veil_medium_skin_tone,14,👰🏽,person with veil: medium skin tone,People & Body,person-role
pouting_cat,,,,,,,pouting_cat,385,😾,pouting cat,Smileys & Emotion,cat-face
person_frowning,0.0,0.0,0.0,0.6393768004764144,0.6393768004764144,0.0,person_frowning,19,🙍,person frowning,People & Body,person-gesture
person_running_medium-light_skin_tone,,,,,,,person_running_medium-light_skin_tone,10,🏃🏼,person running: medium-light skin tone,People & Body,person-activity
thumbs_down_dark_skin_tone,0.2972287305590646,0.445843095838597,0.0,0.9907624351968821,0.3963049740787528,0.1486143652795323,thumbs_down_dark_skin_tone,190,👎🏿,thumbs down: dark skin tone,People & Body,hand-fingers-closed
woman_dark_skin_tone_curly_hair,,,,,,,woman_dark_skin_tone_curly_hair,3,👩🏿‍🦱,"woman: dark skin tone, curly hair",People & Body,person
mx_claus_light_skin_tone,,,,,,,mx_claus_light_skin_tone,1,🧑🏻‍🎄,mx claus: light skin tone,People & Body,person-fantasy
test_tube,0.0,1.3010299956639813,0.0,0.0,0.0,0.0,test_tube,20,🧪,test tube,Objects,science
magnifying_glass_tilted_left,0.13379872053249975,2.1790077343864245,0.3153826983980352,0.33449680133124937,0.16246987493232112,0.0,magnifying_glass_tilted_left,1334,🔍,magnifying glass tilted left,Objects,light & video
person_cartwheeling_medium_skin_tone,,,,,,,person_cartwheeling_medium_skin_tone,1,🤸🏽,person cartwheeling: medium skin tone,People & Body,person-sport
raising_hands_medium_skin_tone,0.04027728309820203,2.1615475262701755,0.026851522065468012,0.5907334854402964,0.2550894596219462,0.26851522065468014,raising_hands_medium_skin_tone,2203,🙌🏽,raising hands: medium skin tone,People & Body,hands
teddy_bear,0.0,1.4166816093137156,0.0,0.3541704023284289,0.0,0.0,teddy_bear,59,🧸,teddy bear,Activities,game
person_blond_hair,,,,,,,person_blond_hair,17,👱,person: blond hair,People & Body,person
