idx,anger,happy,sad,fear,surprise,disgust,emoticon,cnt,emoji,name,group,sub_group
boy_medium-dark_skin_tone,,,,,,,boy_medium-dark_skin_tone,2,👦🏾,boy: medium-dark skin tone,People & Body,person
crayon,0.059857788491049516,0.41900451943734657,0.0,0.059857788491049516,0.17957336547314853,0.059857788491049516,crayon,6,🖍️,crayon,Objects,writing
Jamaica,0.0,0.0,0.0,0.0,0.0,0.0,Jamaica,1,🇯🇲,flag: Jamaica,Flags,country-flag
double_curly_loop,0.0,0.0,0.0,0.0,0.0,0.0,double_curly_loop,1,➿,double curly loop,Symbols,other-symbol
man_dark_skin_tone,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,man_dark_skin_tone,2,👨🏿,man: dark skin tone,People & Body,person
bank,0.3365972056944279,0.35346540279073185,0.0923917159138464,0.08357424924986935,0.1368624173495567,0.07629025504919267,bank,12,🏦,bank,Travel & Places,place-building
non-potable_water,,,,,,,non-potable_water,2,🚱,non-potable water,Symbols,warning
Tokyo_tower,0.0,0.0,0.09542425094393249,0.0,0.28627275283179743,0.09542425094393249,Tokyo_tower,3,🗼,Tokyo tower,Travel & Places,place-building
Netherlands,0.03344777729599791,0.2341344410719854,0.0,0.0,0.0,0.03344777729599791,Netherlands,2,🇳🇱,flag: Netherlands,Flags,country-flag
hamster,0.059640156839957804,0.059640156839957804,0.0,0.23856062735983122,0.059640156839957804,0.059640156839957804,hamster,3,🐹,hamster,Animals & Nature,animal-mammal
nine-thirty,,,,,,,nine-thirty,1,🕤,nine-thirty,Travel & Places,time
dollar_banknote,0.4002955327084731,0.5203841925210151,0.24017731962508387,0.26019209626050754,0.20014776635423656,0.06004432990627097,dollar_banknote,48,💵,dollar banknote,Objects,money
vampire_medium-light_skin_tone,,,,,,,vampire_medium-light_skin_tone,1,🧛🏼,vampire: medium-light skin tone,People & Body,person-fantasy
Japanese_discount_button,0.0,0.0,0.0,0.0,0.0,0.0,Japanese_discount_button,1,🈹,Japanese “discount” button,Symbols,alphanum
eight-pointed_star,,,,,,,eight-pointed_star,3,✴️,eight-pointed star,Symbols,other-symbol
smiling_face,0.6124738039421257,1.3901695248824408,0.3035472428571388,0.3750153278842626,0.3942271786980056,0.16983276119348778,smiling_face,1759,☺️,smiling face,Smileys & Emotion,face-affection
woman_cartwheeling_light_skin_tone,0.1461432686803233,0.2922865373606466,0.1461432686803233,0.21921490302048496,0.40189398887088906,0.07307163434016165,woman_cartwheeling_light_skin_tone,19,🤸🏻‍♀️,woman cartwheeling: light skin tone,People & Body,person-sport
raised_fist_light_skin_tone,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.2,0.0,0.0,raised_fist_light_skin_tone,10,✊🏻,raised fist: light skin tone,People & Body,hand-fingers-closed
man_playing_handball_light_skin_tone,0.0,0.0,0.0,0.0,0.0,0.0,man_playing_handball_light_skin_tone,1,🤾🏻‍♂️,man playing handball: light skin tone,People & Body,person-sport
transgender_symbol,0.09542425094393249,0.23856062735983122,0.047712125471966245,0.09542425094393249,0.0,0.0,transgender_symbol,3,⚧️,transgender symbol,Symbols,gender
clapping_hands_medium-dark_skin_tone,,,,,,,clapping_hands_medium-dark_skin_tone,20,👏🏾,clapping hands: medium-dark skin tone,People & Body,hands
wheelchair_symbol,0.09389978222380631,0.14084967333570947,0.14084967333570947,0.2347494555595158,0.09389978222380631,0.14084967333570947,wheelchair_symbol,7,♿,wheelchair symbol,Symbols,transport-sign
next_track_button,0.0,0.0,0.0,0.0,0.0,0.0,next_track_button,1,⏭️,next track button,Symbols,av-symbol
man_medium_skin_tone,0.35784094103974684,0.0,0.11928031367991561,0.0,0.0,0.0,man_medium_skin_tone,3,👨🏽,man: medium skin tone,People & Body,person
hospital,0.15563025007672873,0.15563025007672873,0.07781512503836437,0.07781512503836437,0.23344537511509308,0.07781512503836437,hospital,6,🏥,hospital,Travel & Places,place-building
Japanese_post_office,0.0,0.0,0.0,0.0,0.0,0.0,Japanese_post_office,1,🏣,Japanese post office,Travel & Places,place-building
parachute,0.0,0.0,0.0,0.0,0.0,0.0,parachute,1,🪂,parachute,Travel & Places,transport-air
woman_scientist_medium_skin_tone,,,,,,,woman_scientist_medium_skin_tone,1,👩🏽‍🔬,woman scientist: medium skin tone,People & Body,person-role
tired_face,0.3411893231773558,0.8228683676630345,0.2759619525699201,0.4315041440184206,0.26592697247646846,0.11540227107469386,tired_face,179,😫,tired face,Smileys & Emotion,face-concerned
euro_banknote,0.26825865850551955,0.26825865850551955,0.024387150773229047,0.09754860309291619,1.048647483248849,0.04877430154645809,euro_banknote,57,💶,euro banknote,Objects,money
person_tipping_hand,0.2034183530359876,0.4407397649113064,0.2712244707146501,0.13561223535732506,0.2034183530359876,0.06780611767866253,person_tipping_hand,21,💁,person tipping hand,People & Body,person-gesture
station,0.08388945137928132,0.19399435631458803,0.05243090711205082,0.02621545355602541,0.10486181422410164,0.015729272133615246,station,3,🚉,station,Travel & Places,transport-ground
angry_face_with_horns,0.5108340573836959,0.33315264611980167,0.08884070563194711,0.399783175343762,0.24431194048785454,0.15547123485590744,angry_face_with_horns,54,👿,angry face with horns,Smileys & Emotion,face-negative
woman_office_worker,0.30730837818700246,0.15365418909350123,0.025609031515583542,0.025609031515583542,0.20487225212466834,0.1280451575779177,woman_office_worker,7,👩‍💼,woman office worker,People & Body,person-role
women_with_bunny_ears,0.284068894063671,0.6036463998853009,0.07101722351591774,0.1420344470318355,0.284068894063671,0.10652583527387662,women_with_bunny_ears,31,👯‍♀️,women with bunny ears,People & Body,person-activity
tulip,0.20214890014748524,0.819235016387177,0.20214890014748524,0.1489518211613049,0.21278831594472128,0.2659853949309016,tulip,71,🌷,tulip,Animals & Nature,plant-flower
woman_bowing,0.2678591167543491,0.497452645400934,0.07653117621552831,0.11479676432329247,0.07653117621552831,0.2678591167543491,woman_bowing,20,🙇‍♀️,woman bowing,People & Body,person-gesture
round_pushpin,0.2589908188157334,0.7769724564472001,0.2158256823464445,0.19424311411180004,0.19424311411180004,0.10791284117322225,round_pushpin,56,📍,round pushpin,Objects,office
smiling_face_with_heart-eyes,,,,,,,smiling_face_with_heart-eyes,7446,😍,smiling face with heart-eyes,Smileys & Emotion,face-affection
t-shirt,,,,,,,t-shirt,3,👕,t-shirt,Objects,clothing
woman_playing_handball_medium-light_skin_tone,,,,,,,woman_playing_handball_medium-light_skin_tone,3,🤾🏼‍♀️,woman playing handball: medium-light skin tone,People & Body,person-sport
seedling,0.2416110511314991,0.8647132356285232,0.1462382677901179,0.2161783089071308,0.23525286557540703,0.2098201233510387,seedling,82,🌱,seedling,Animals & Nature,plant-other
person_with_veil_medium_skin_tone,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,person_with_veil_medium_skin_tone,2,👰🏽,person with veil: medium skin tone,People & Body,person-role
pouting_cat,0.3125803733667921,0.2604836444723268,0.052096728894465365,0.20838691557786146,0.10419345778893073,0.20838691557786146,pouting_cat,14,😾,pouting cat,Smileys & Emotion,cat-face
person_frowning,0.28169934667141894,0.14084967333570947,0.28169934667141894,0.0,0.14084967333570947,0.0,person_frowning,7,🙍,person frowning,People & Body,person-gesture
person_running_medium-light_skin_tone,,,,,,,person_running_medium-light_skin_tone,3,🏃🏼,person running: medium-light skin tone,People & Body,person-activity
thumbs_down_dark_skin_tone,0.2797002354244829,0.6865369414964582,0.0,0.17799105890648914,0.17799105890648914,0.0,thumbs_down_dark_skin_tone,21,👎🏿,thumbs down: dark skin tone,People & Body,hand-fingers-closed
test_tube,0.19230769230769232,0.5769230769230769,0.0,0.038461538461538464,0.07692307692307693,0.11538461538461539,test_tube,10,🧪,test tube,Objects,science
magnifying_glass_tilted_left,0.25239573801879506,0.549331900393848,0.22270212178128973,0.2078553136625371,0.2078553136625371,0.10392765683126855,magnifying_glass_tilted_left,35,🔍,magnifying glass tilted left,Objects,light & video
