idx,anger,happy,sad,fear,surprise,disgust,emoticon,cnt,emoji,name,group,sub_group
flat_shoe,0.0,1.0,0.0,0.0,0.0,0.0,flat_shoe,5,🥿,flat shoe,Objects,clothing
boy_medium-dark_skin_tone,,,,,,,boy_medium-dark_skin_tone,5,👦🏾,boy: medium-dark skin tone,People & Body,person
crayon,0.0,1.0,0.0,0.0,0.0,0.0,crayon,14,🖍️,crayon,Objects,writing
Jamaica,,,,,,,Jamaica,125,🇯🇲,flag: Jamaica,Flags,country-flag
double_curly_loop,,,,,,,double_curly_loop,1,➿,double curly loop,Symbols,other-symbol
man_dark_skin_tone,,,,,,,man_dark_skin_tone,6,👨🏿,man: dark skin tone,People & Body,person
woman_getting_massage_medium-dark_skin_tone,,,,,,,woman_getting_massage_medium-dark_skin_tone,16,💆🏾‍♀️,woman getting massage: medium-dark skin tone,People & Body,person-activity
bank,0.09016393442622951,0.22950819672131148,0.20081967213114754,0.21618852459016394,0.1413934426229508,0.12192622950819672,bank,24,🏦,bank,Travel & Places,place-building
New_Zealand,,,,,,,New_Zealand,55,🇳🇿,flag: New Zealand,Flags,country-flag
non-potable_water,,,,,,,non-potable_water,4,🚱,non-potable water,Symbols,warning
Tokyo_tower,,,,,,,Tokyo_tower,56,🗼,Tokyo tower,Travel & Places,place-building
police_officer_medium-light_skin_tone,,,,,,,police_officer_medium-light_skin_tone,5,👮🏼,police officer: medium-light skin tone,People & Body,person-role
Netherlands,,,,,,,Netherlands,63,🇳🇱,flag: Netherlands,Flags,country-flag
hamster,0.0,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.0,0.36363636363636365,hamster,101,🐹,hamster,Animals & Nature,animal-mammal
man_with_white_cane_medium_skin_tone,,,,,,,man_with_white_cane_medium_skin_tone,3,👨🏽‍🦯,man with white cane: medium skin tone,People & Body,person-activity
nine-thirty,,,,,,,nine-thirty,5,🕤,nine-thirty,Travel & Places,time
Ascension_Island,,,,,,,Ascension_Island,1,🇦🇨,flag: Ascension Island,Flags,country-flag
dollar_banknote,0.17647058823529413,0.45098039215686275,0.0392156862745098,0.1568627450980392,0.0784313725490196,0.09803921568627451,dollar_banknote,946,💵,dollar banknote,Objects,money
vampire_medium-light_skin_tone,,,,,,,vampire_medium-light_skin_tone,2,🧛🏼,vampire: medium-light skin tone,People & Body,person-fantasy
person_bowing_medium_skin_tone,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,person_bowing_medium_skin_tone,20,🙇🏽,person bowing: medium skin tone,People & Body,person-gesture
Japanese_discount_button,,,,,,,Japanese_discount_button,1,🈹,Japanese “discount” button,Symbols,alphanum
eight-pointed_star,,,,,,,eight-pointed_star,19,✴️,eight-pointed star,Symbols,other-symbol
smiling_face,0.0220125786163522,0.8018867924528302,0.0660377358490566,0.0440251572327044,0.06289308176100629,0.0031446540880503146,smiling_face,11451,☺️,smiling face,Smileys & Emotion,face-affection
woman_cartwheeling_light_skin_tone,0.0,0.8,0.0,0.0,0.2,0.0,woman_cartwheeling_light_skin_tone,32,🤸🏻‍♀️,woman cartwheeling: light skin tone,People & Body,person-sport
raised_fist_light_skin_tone,0.125,0.5,0.1,0.225,0.025,0.025,raised_fist_light_skin_tone,638,✊🏻,raised fist: light skin tone,People & Body,hand-fingers-closed
woman_technologist_dark_skin_tone,,,,,,,woman_technologist_dark_skin_tone,1,👩🏿‍💻,woman technologist: dark skin tone,People & Body,person-role
transgender_symbol,,,,,,,transgender_symbol,3,⚧️,transgender symbol,Symbols,gender
clapping_hands_medium-dark_skin_tone,,,,,,,clapping_hands_medium-dark_skin_tone,3379,👏🏾,clapping hands: medium-dark skin tone,People & Body,hands
wheelchair_symbol,0.0,0.5,0.375,0.125,0.0,0.0,wheelchair_symbol,64,♿,wheelchair symbol,Symbols,transport-sign
next_track_button,1.0,0.0,0.0,0.0,0.0,0.0,next_track_button,18,⏭️,next track button,Symbols,av-symbol
man_medium_skin_tone,,,,,,,man_medium_skin_tone,3,👨🏽,man: medium skin tone,People & Body,person
hospital,0.0796875,0.2609375,0.25625,0.178125,0.1359375,0.0890625,hospital,75,🏥,hospital,Travel & Places,place-building
man_singer_medium-dark_skin_tone,,,,,,,man_singer_medium-dark_skin_tone,3,👨🏾‍🎤,man singer: medium-dark skin tone,People & Body,person-role
Japanese_post_office,,,,,,,Japanese_post_office,7,🏣,Japanese post office,Travel & Places,place-building
person_getting_haircut_medium-light_skin_tone,,,,,,,person_getting_haircut_medium-light_skin_tone,3,💇🏼,person getting haircut: medium-light skin tone,People & Body,person-activity
parachute,0.125,0.25,0.375,0.125,0.125,0.0,parachute,6,🪂,parachute,Travel & Places,transport-air
woman_scientist_medium_skin_tone,,,,,,,woman_scientist_medium_skin_tone,6,👩🏽‍🔬,woman scientist: medium skin tone,People & Body,person-role
tired_face,0.07150480256136606,0.37353255069370334,0.17929562433297758,0.22198505869797225,0.054429028815368194,0.09925293489861259,tired_face,10352,😫,tired face,Smileys & Emotion,face-concerned
euro_banknote,0.1,0.8,0.05,0.05,0.0,0.0,euro_banknote,67,💶,euro banknote,Objects,money
person_tipping_hand,0.08823529411764706,0.7058823529411765,0.029411764705882353,0.14705882352941177,0.0,0.029411764705882353,person_tipping_hand,415,💁,person tipping hand,People & Body,person-gesture
station,0.047619047619047616,0.29931972789115646,0.24489795918367346,0.16326530612244897,0.12471655328798185,0.12018140589569161,station,15,🚉,station,Travel & Places,transport-ground
angry_face_with_horns,0.125,0.1956521739130435,0.09782608695652174,0.44021739130434784,0.02717391304347826,0.11413043478260869,angry_face_with_horns,1197,👿,angry face with horns,Smileys & Emotion,face-negative
person_facepalming_medium-dark_skin_tone,,,,,,,person_facepalming_medium-dark_skin_tone,59,🤦🏾,person facepalming: medium-dark skin tone,People & Body,person-gesture
woman_office_worker,0.0,1.0,0.0,0.0,0.0,0.0,woman_office_worker,12,👩‍💼,woman office worker,People & Body,person-role
women_with_bunny_ears,,,,,,,women_with_bunny_ears,88,👯‍♀️,women with bunny ears,People & Body,person-activity
tulip,0.013513513513513514,0.8783783783783784,0.05405405405405406,0.04054054054054054,0.013513513513513514,0.0,tulip,324,🌷,tulip,Animals & Nature,plant-flower
man_bowing_dark_skin_tone,,,,,,,man_bowing_dark_skin_tone,10,🙇🏿‍♂️,man bowing: dark skin tone,People & Body,person-gesture
woman_bowing,0.0,1.0,0.0,0.0,0.0,0.0,woman_bowing,149,🙇‍♀️,woman bowing,People & Body,person-gesture
round_pushpin,0.0,0.3333333333333333,0.041666666666666664,0.5416666666666666,0.08333333333333333,0.0,round_pushpin,227,📍,round pushpin,Objects,office
smiling_face_with_heart-eyes,,,,,,,smiling_face_with_heart-eyes,66088,😍,smiling face with heart-eyes,Smileys & Emotion,face-affection
middle_finger_medium_skin_tone,0.1657142857142857,0.10285714285714286,0.08571428571428572,0.24,0.02857142857142857,0.37714285714285717,middle_finger_medium_skin_tone,1219,🖕🏽,middle finger: medium skin tone,People & Body,hand-single-finger
t-shirt,,,,,,,t-shirt,119,👕,t-shirt,Objects,clothing
seedling,0.035398230088495575,0.5575221238938053,0.09734513274336283,0.168141592920354,0.08849557522123894,0.05309734513274336,seedling,921,🌱,seedling,Animals & Nature,plant-other
person_with_veil_medium_skin_tone,,,,,,,person_with_veil_medium_skin_tone,14,👰🏽,person with veil: medium skin tone,People & Body,person-role
pouting_cat,,,,,,,pouting_cat,385,😾,pouting cat,Smileys & Emotion,cat-face
person_frowning,0.0,0.0,0.0,0.5,0.5,0.0,person_frowning,19,🙍,person frowning,People & Body,person-gesture
person_running_medium-light_skin_tone,,,,,,,person_running_medium-light_skin_tone,10,🏃🏼,person running: medium-light skin tone,People & Body,person-activity
thumbs_down_dark_skin_tone,0.13043478260869565,0.1956521739130435,0.0,0.43478260869565216,0.17391304347826086,0.06521739130434782,thumbs_down_dark_skin_tone,190,👎🏿,thumbs down: dark skin tone,People & Body,hand-fingers-closed
woman_dark_skin_tone_curly_hair,,,,,,,woman_dark_skin_tone_curly_hair,3,👩🏿‍🦱,"woman: dark skin tone, curly hair",People & Body,person
mx_claus_light_skin_tone,,,,,,,mx_claus_light_skin_tone,1,🧑🏻‍🎄,mx claus: light skin tone,People & Body,person-fantasy
test_tube,0.0,1.0,0.0,0.0,0.0,0.0,test_tube,20,🧪,test tube,Objects,science
magnifying_glass_tilted_left,0.04281345565749235,0.6972477064220184,0.10091743119266056,0.10703363914373089,0.05198776758409786,0.0,magnifying_glass_tilted_left,1334,🔍,magnifying glass tilted left,Objects,light & video
person_cartwheeling_medium_skin_tone,,,,,,,person_cartwheeling_medium_skin_tone,1,🤸🏽,person cartwheeling: medium skin tone,People & Body,person-sport
raising_hands_medium_skin_tone,0.012048192771084338,0.6465863453815262,0.008032128514056224,0.17670682730923695,0.07630522088353414,0.08032128514056225,raising_hands_medium_skin_tone,2203,🙌🏽,raising hands: medium skin tone,People & Body,hands
teddy_bear,0.0,0.8,0.0,0.2,0.0,0.0,teddy_bear,59,🧸,teddy bear,Activities,game
person_blond_hair,,,,,,,person_blond_hair,17,👱,person: blond hair,People & Body,person
Nicaragua,,,,,,,Nicaragua,8,🇳🇮,flag: Nicaragua,Flags,country-flag
toothbrush,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,toothbrush,2,🪥,toothbrush,Objects,household
prince_dark_skin_tone,0.0,0.5,0.0,0.5,0.0,0.0,prince_dark_skin_tone,8,🤴🏿,prince: dark skin tone,People & Body,person-role
Morocco,,,,,,,Morocco,122,🇲🇦,flag: Morocco,Flags,country-flag
oncoming_bus,1.0,0.0,0.0,0.0,0.0,0.0,oncoming_bus,11,🚍,oncoming bus,Travel & Places,transport-ground
person_walking_medium-dark_skin_tone,,,,,,,person_walking_medium-dark_skin_tone,8,🚶🏾,person walking: medium-dark skin tone,People & Body,person-activity
man_raising_hand_medium_skin_tone,,,,,,,man_raising_hand_medium_skin_tone,45,🙋🏽‍♂️,man raising hand: medium skin tone,People & Body,person-gesture
Malta,,,,,,,Malta,5,🇲🇹,flag: Malta,Flags,country-flag
cow,0.11337868480725624,0.1655328798185941,0.14512471655328799,0.26077097505668934,0.047619047619047616,0.2675736961451247,cow,187,🐄,cow,Animals & Nature,animal-mammal
woman_guard_medium_skin_tone,,,,,,,woman_guard_medium_skin_tone,1,💂🏽‍♀️,woman guard: medium skin tone,People & Body,person-role
ice_hockey,0.0,0.7692307692307693,0.0,0.0,0.23076923076923078,0.0,ice_hockey,118,🏒,ice hockey,Activities,sport
man_cartwheeling,,,,,,,man_cartwheeling,18,🤸‍♂️,man cartwheeling,People & Body,person-sport
chopsticks,0.1,0.7,0.1,0.1,0.0,0.0,chopsticks,13,🥢,chopsticks,Food & Drink,dishware
stopwatch,0.0,0.5,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,stopwatch,98,⏱️,stopwatch,Travel & Places,time
Norway,,,,,,,Norway,25,🇳🇴,flag: Norway,Flags,country-flag
mosque,0.0,0.25,0.125,0.5,0.125,0.0,mosque,11,🕌,mosque,Travel & Places,place-religious
person_in_suit_levitating_medium_skin_tone,,,,,,,person_in_suit_levitating_medium_skin_tone,2,🕴🏽,person in suit levitating: medium skin tone,People & Body,person-activity
taco,0.07801418439716312,0.3546099290780142,0.1016548463356974,0.19858156028368795,0.06855791962174941,0.19858156028368795,taco,427,🌮,taco,Food & Drink,food-prepared
person_cartwheeling_medium-dark_skin_tone,,,,,,,person_cartwheeling_medium-dark_skin_tone,3,🤸🏾,person cartwheeling: medium-dark skin tone,People & Body,person-sport
selfie_medium-light_skin_tone,,,,,,,selfie_medium-light_skin_tone,3,🤳🏼,selfie: medium-light skin tone,People & Body,hand-prop
hedgehog,0.06666666666666667,0.6333333333333333,0.06666666666666667,0.1,0.0,0.13333333333333333,hedgehog,22,🦔,hedgehog,Animals & Nature,animal-mammal
cheese_wedge,0.022727272727272728,0.6818181818181818,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.06818181818181818,cheese_wedge,527,🧀,cheese wedge,Food & Drink,food-prepared
woman_scientist_light_skin_tone,0.0,0.0,0.0,0.0,0.0,1.0,woman_scientist_light_skin_tone,4,👩🏻‍🔬,woman scientist: light skin tone,People & Body,person-role
person_facepalming_light_skin_tone,0.0,0.2,0.1,0.1,0.4,0.2,person_facepalming_light_skin_tone,83,🤦🏻,person facepalming: light skin tone,People & Body,person-gesture
woman_golfing_medium-dark_skin_tone,,,,,,,woman_golfing_medium-dark_skin_tone,1,🏌🏾‍♀️,woman golfing: medium-dark skin tone,People & Body,person-sport
tanabata_tree,0.0,1.0,0.0,0.0,0.0,0.0,tanabata_tree,10,🎋,tanabata tree,Activities,event
broken_heart,0.14392523364485982,0.3107476635514019,0.28785046728971964,0.13130841121495326,0.03271028037383177,0.09345794392523364,broken_heart,12341,💔,broken heart,Smileys & Emotion,emotion
woman_surfing_medium-light_skin_tone,,,,,,,woman_surfing_medium-light_skin_tone,9,🏄🏼‍♀️,woman surfing: medium-light skin tone,People & Body,person-sport
fairy_medium-dark_skin_tone,,,,,,,fairy_medium-dark_skin_tone,1,🧚🏾,fairy: medium-dark skin tone,People & Body,person-fantasy
vampire_light_skin_tone,0.0,0.75,0.0,0.25,0.0,0.0,vampire_light_skin_tone,5,🧛🏻,vampire: light skin tone,People & Body,person-fantasy
worried_face,0.11646586345381527,0.44377510040160645,0.21084337349397592,0.0783132530120482,0.11646586345381527,0.03413654618473896,worried_face,3517,😟,worried face,Smileys & Emotion,face-concerned
toilet,0.0625,0.1766304347826087,0.15489130434782608,0.11956521739130435,0.06793478260869565,0.41847826086956524,toilet,106,🚽,toilet,Objects,household
Belgium,,,,,,,Belgium,95,🇧🇪,flag: Belgium,Flags,country-flag
man_police_officer_light_skin_tone,0.0,1.0,0.0,0.0,0.0,0.0,man_police_officer_light_skin_tone,26,👮🏻‍♂️,man police officer: light skin tone,People & Body,person-role
baby_angel_medium_skin_tone,,,,,,,baby_angel_medium_skin_tone,4,👼🏽,baby angel: medium skin tone,People & Body,person-fantasy
woman_firefighter_light_skin_tone,,,,,,,woman_firefighter_light_skin_tone,2,👩🏻‍🚒,woman firefighter: light skin tone,People & Body,person-role
martial_arts_uniform,0.0,0.6666666666666666,0.0,0.0,0.2222222222222222,0.1111111111111111,martial_arts_uniform,83,🥋,martial arts uniform,Activities,sport
Denmark,,,,,,,Denmark,49,🇩🇰,flag: Denmark,Flags,country-flag
hand_with_fingers_splayed_medium_skin_tone,0.0,0.0,0.0,1.0,0.0,0.0,hand_with_fingers_splayed_medium_skin_tone,24,🖐🏽,hand with fingers splayed: medium skin tone,People & Body,hand-fingers-open
waning_gibbous_moon,,,,,,,waning_gibbous_moon,13,🌖,waning gibbous moon,Travel & Places,sky & weather
