idx,anger,happy,sad,fear,surprise,disgust,emoticon,cnt,emoji,name,group,sub_group
boy_medium-dark_skin_tone,,,,,,,boy_medium-dark_skin_tone,2,👦🏾,boy: medium-dark skin tone,People & Body,person
crayon,0.07692307692307693,0.5384615384615384,0.0,0.07692307692307693,0.23076923076923078,0.07692307692307693,crayon,6,🖍️,crayon,Objects,writing
Jamaica,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,Jamaica,1,🇯🇲,flag: Jamaica,Flags,country-flag
double_curly_loop,0.0,0.0,0.0,0.0,0.0,1.0,double_curly_loop,1,➿,double curly loop,Symbols,other-symbol
man_dark_skin_tone,1.0,0.0,0.0,0.0,0.0,0.0,man_dark_skin_tone,2,👨🏿,man: dark skin tone,People & Body,person
bank,0.3119005328596803,0.3275310834813499,0.08561278863232683,0.07744227353463588,0.12682060390763766,0.07069271758436944,bank,12,🏦,bank,Travel & Places,place-building
non-potable_water,,,,,,,non-potable_water,2,🚱,non-potable water,Symbols,warning
Tokyo_tower,0.0,0.0,0.2,0.0,0.6,0.2,Tokyo_tower,3,🗼,Tokyo tower,Travel & Places,place-building
Netherlands,0.1111111111111111,0.7777777777777778,0.0,0.0,0.0,0.1111111111111111,Netherlands,2,🇳🇱,flag: Netherlands,Flags,country-flag
hamster,0.125,0.125,0.0,0.5,0.125,0.125,hamster,3,🐹,hamster,Animals & Nature,animal-mammal
nine-thirty,,,,,,,nine-thirty,1,🕤,nine-thirty,Travel & Places,time
dollar_banknote,0.23809523809523808,0.30952380952380953,0.14285714285714285,0.15476190476190477,0.11904761904761904,0.03571428571428571,dollar_banknote,48,💵,dollar banknote,Objects,money
vampire_medium-light_skin_tone,,,,,,,vampire_medium-light_skin_tone,1,🧛🏼,vampire: medium-light skin tone,People & Body,person-fantasy
Japanese_discount_button,0.0,0.0,0.0,0.0,0.0,1.0,Japanese_discount_button,1,🈹,Japanese “discount” button,Symbols,alphanum
