emoticon,cnt
_slightly_smiling_face_,17906
_blue_heart_,17477
_smiling_face_with_smiling_eyes_,12417
_red_heart_,12140
_face_with_tears_of_joy_,11006
_smiling_face_with_heart-eyes_,7446
_purple_heart_,6466
_clapping_hands_,5282
_thumbs_up_,3784
_winking_face_,3709
_pouting_face_,3650
_pleading_face_,3103
_thinking_face_,3064
_fire_,3013
_beaming_face_with_smiling_eyes_,2878
_smiling_face_with_sunglasses_,2808
_backhand_index_pointing_down_,2775
_loudly_crying_face_,2599
_folded_hands_,2367
_rolling_on_the_floor_laughing_,2268
_smiling_face_with_open_hands_,2237
_face_with_rolling_eyes_,2074
_grinning_face_,2017
_grinning_face_with_sweat_,1898
_pensive_face_,1875
_smiling_face_,1759
_smirking_face_,1712
_smiling_face_with_hearts_,1644
_clapping_hands_light_skin_tone_,1605
_grinning_face_with_smiling_eyes_,1509
_unamused_face_,1422
_partying_face_,1410
_crying_face_,1324
_backhand_index_pointing_right_,1191
_registered_,1176
_star-struck_,1073
_heart_suit_,1070
_folded_hands_light_skin_tone_,1052
_Turkey_,1047
_dog_face_,1039
_flexed_biceps_,1024
_cat_face_,1020
_party_popper_,1003
_angry_face_,937
_two_hearts_,924
_relieved_face_,872
_grinning_face_with_big_eyes_,847
_yellow_heart_,843
_thumbs_up_light_skin_tone_,832
_upside-down_face_,815
_face_with_symbols_on_mouth_,800
_disappointed_face_,764
_thumbs_down_,761
_confused_face_,760
_grimacing_face_,756
_smiling_face_with_halo_,754
_face_blowing_a_kiss_,752
_cherry_blossom_,741
_victory_hand_,727
_eyes_,705
_face_savoring_food_,699
_see-no-evil_monkey_,681
_OK_hand_,653
_face_with_hand_over_mouth_,653
_sparkles_,651
_green_heart_,614
_black_heart_,572
_clapping_hands_medium-light_skin_tone_,568
_trophy_,556
_herb_,554
_hamburger_,545
_face_screaming_in_fear_,518
_expressionless_face_,516
_eagle_,484
_sparkling_heart_,480
_woman_facepalming_light_skin_tone_,471
_zany_face_,466
_wrapped_gift_,461
_heart_exclamation_,452
