emoticon,cnt,emoji,name,group,sub_group
_slightly_smiling_face_,17906,🙂,slightly smiling face,Smileys & Emotion,face-smiling
_blue_heart_,17477,💙,blue heart,Smileys & Emotion,emotion
_smiling_face_with_smiling_eyes_,12417,😊,smiling face with smiling eyes,Smileys & Emotion,face-smiling
_red_heart_,12140,❤️,red heart,Smileys & Emotion,emotion
_face_with_tears_of_joy_,11006,😂,face with tears of joy,Smileys & Emotion,face-smiling
_smiling_face_with_heart-eyes_,7446,😍,smiling face with heart-eyes,Smileys & Emotion,face-affection
_purple_heart_,6466,💜,purple heart,Smileys & Emotion,emotion
_clapping_hands_,5282,👏,clapping hands,People & Body,hands
_thumbs_up_,3784,👍,thumbs up,People & Body,hand-fingers-closed
_winking_face_,3709,😉,winking face,Smileys & Emotion,face-smiling
_pouting_face_,3650,😡,pouting face,Smileys & Emotion,face-negative
_pleading_face_,3103,🥺,pleading face,Smileys & Emotion,face-concerned
_thinking_face_,3064,🤔,thinking face,Smileys & Emotion,face-hand
_fire_,3013,🔥,fire,Travel & Places,sky & weather
_beaming_face_with_smiling_eyes_,2878,😁,beaming face with smiling eyes,Smileys & Emotion,face-smiling
_smiling_face_with_sunglasses_,2808,😎,smiling face with sunglasses,Smileys & Emotion,face-glasses
_backhand_index_pointing_down_,2775,👇,backhand index pointing down,People & Body,hand-single-finger
_loudly_crying_face_,2599,😭,loudly crying face,Smileys & Emotion,face-concerned
_folded_hands_,2367,🙏,folded hands,People & Body,hands
_rolling_on_the_floor_laughing_,2268,🤣,rolling on the floor laughing,Smileys & Emotion,face-smiling
_smiling_face_with_open_hands_,2237,🤗,hugging face,Smileys & Emotion,face-hand
_face_with_rolling_eyes_,2074,🙄,face with rolling eyes,Smileys & Emotion,face-neutral-skeptical
_grinning_face_,2017,😀,grinning face,Smileys & Emotion,face-smiling
_grinning_face_with_sweat_,1898,😅,grinning face with sweat,Smileys & Emotion,face-smiling
_pensive_face_,1875,😔,pensive face,Smileys & Emotion,face-sleepy
